Issue Type,Epic Name,Epic Link,Summary,Description,Story Points,Priority,Components,Labels
Story,,APP - Application Service,Implement application snapshots,"As a user, I want the system to take a snapshot before risky operations and let me restore from one, so that I have a safety net.

Acceptance Criteria:
- Snapshot stores a compressed artifact JSON, not live entity rows
- Restore endpoint round-trips correctly against the snapshot format
- Old snapshots are prunable",5,Low,Application,"snapshots-&-static-urls,Phase-B"
Story,,APP - Application Service,Implement static URL slugs,"As a user, I want to set a custom human-readable URL for my published application, so that I can share a memorable link.

Acceptance Criteria:
- Slug uniqueness enforced instance-wide
- Verify-availability endpoint matches current contract
- Published-app lookup by slug is a single indexed query",3,Low,Application,"snapshots-&-static-urls,Phase-B"
Story,,APP - Application Service,Implement publish as a single transaction,"As a user, I want to publish my application and have every page/action/theme change go live together, so that my published app is never left in a half-updated state.

Acceptance Criteria:
- All published_* column updates happen inside one BEGIN/COMMIT
- Soft-deleted pages/actions are hard-deleted as part of the same transaction
- Matches Database per Service §3's publish SQL",8,High,Application,"publish-atomic,Phase-B"
Story,,APP - Application Service,Prove publish atomicity under fault injection,"As a tech lead, I want a test that kills the process mid-publish and verifies the database shows either the full old state or the full new state, never a mix, so that the 'publish is atomic' claim is verified, not assumed.

Acceptance Criteria:
- Test injects a failure between two of the publish sub-steps
- Post-crash state is verified as fully-rolled-back
- This is a go/no-go checkpoint per the roadmap — result recorded",5,Highest,Application,"publish-atomic,Phase-B"
Story,,APP - Application Service,Publish the ApplicationPublished event,"As a backend developer, I want the outbox to emit ApplicationPublished on successful publish, so that Realtime and Notifications can react.

Acceptance Criteria:
- Event carries applicationId, workspaceId, publishedAt, publishedBy
- Written in the same transaction as the publish itself",3,High,Application,"publish-atomic,Phase-B"
Story,,APP - Application Service,Implement the export serializer,"As a backend developer, I want a serializer that strips ids/policies/secrets from every entity type, matching sanitiseToExportDBObject, so that exported applications are portable and don't leak internal state.

Acceptance Criteria:
- Covers Application, Page, Action, ActionCollection, Theme, CustomJSLib
- Output is deterministic — same input always produces the same JSON",8,High,Application,"export-import-serialization,Phase-B"
Story,,APP - Application Service,Implement the full application export endpoint,"As a user, I want to export my application as a single JSON file, so that I can back it up or move it elsewhere.

Acceptance Criteria:
- Matches the current GET /applications/export/{id} contract shape
- Includes a call to Datasource Service for config (secrets excluded)",5,High,Application,"export-import-serialization,Phase-B"
Story,,APP - Application Service,Implement the import serializer with id remapping,"As a backend developer, I want an importer that assigns fresh ids to every entity and remaps every internal reference, so that importing doesn't collide with or corrupt existing data.

Acceptance Criteria:
- Remap table covers pageId, actionId, collectionId, datasourceId, themeId references
- Import is transactional — a failure leaves no orphaned rows
- Imported datasources arrive isConfigured:false, matching current behaviour",8,High,Application,"export-import-serialization,Phase-B"
Story,,APP - Application Service,Implement fork orchestration,"As a user, I want to fork an application into another workspace, so that I can build on an existing application without affecting the original.

Acceptance Criteria:
- Local transaction creates the new application tree with fresh ids
- CloneDatasources gRPC call made to Datasource Service for referenced datasources
- Success returns the new application id",8,High,Application,"fork-saga,Phase-B"
Story,,APP - Application Service,Implement fork compensation,"As a backend developer, I want a compensating rollback when the datasource clone step fails, so that a partial fork never leaves orphaned data.

Acceptance Criteria:
- Calls the idempotent DeleteClonedDatasources endpoint on failure
- Deletes the newly created application tree
- Returns a clear failure reason to the caller, not a generic 500",8,High,Application,"fork-saga,Phase-B"
Story,,APP - Application Service,Implement import orchestration,"As a user, I want to import an application from an uploaded JSON file, so that I can bring in an application built elsewhere.

Acceptance Criteria:
- Same orchestration and compensation shape as Fork
- Handles a source that references datasources not yet present in the target workspace",8,Medium,Application,"import-saga,Phase-B"
Story,,APP - Application Service,Implement the datasources-needed-for-import endpoint,"As the Angular client, I want to know which datasources an import will need before committing to it, so that I can prompt the user to configure them.

Acceptance Criteria:
- Matches the current GET .../import/{workspaceId}/datasources contract
- Distinguishes datasources that already exist in the target workspace from ones that don't",3,Medium,Application,"import-saga,Phase-B"
Story,,APP - Application Service,Implement the authz_grants table and event consumer,"As a backend developer, I want a local authorization projection fed by PermissionGrantChanged events, so that every resource read stays a single indexed query with no cross-service call.

Acceptance Criteria:
- Consumer is idempotent (inbox table) under at-least-once delivery
- Projection lag is measured and alerts above the 5s p99 budget
- Matches Security & AuthZ §2's design",8,High,Application,"authorization-projection,Phase-B"
Story,,APP - Application Service,Implement the Authorized<T>() query helper,"As a backend developer, I want one shared query predicate applied to every protected-resource read and write, so that no endpoint can accidentally skip the authorization join.

Acceptance Criteria:
- Every existing endpoint is verified to use it, not a hand-rolled check
- Zero rows returns 404, matching current behaviour
- Covered by the per-service authorization checklist in the security doc",5,High,Application,"authorization-projection,Phase-B"
Story,,APP - Application Service,Implement the projection-rebuild admin endpoint,"As an operator, I want to rebuild authz_grants from scratch from Identity's current state, so that projection drift is recoverable without a database restore.

Acceptance Criteria:
- Rebuild is safe to run against a live, in-use projection table
- Progress is observable, not a black box
- Documented in the service's runbook",5,Medium,Application,"authorization-projection,Phase-B"
Story,,APP - Application Service,Implement artifact assembly for commit,"As a backend developer, I want Application Service to assemble the full exportable artifact plus a call to Datasource Service for configs before handing off to Git, so that Git Service never needs to understand the domain model.

Acceptance Criteria:
- Assembly reuses the export serializer from the Export/Import feature
- Datasource configs fetched via GetDatasourceConfigs with secrets excluded",5,Medium,Application,"git-integration-surface,Phase-B"
Story,,APP - Application Service,Implement Commit/Push/Pull gRPC client calls,"As a user, I want to commit, push and pull my application's git state from the editor, so that I can version-control my application.

Acceptance Criteria:
- Pull's returned artifact JSON is imported using the same import path as manual import
- Commit/Push status is returned synchronously to the caller, matching current UX",5,Medium,Application,"git-integration-surface,Phase-B"
Epic,DS - Datasource Service,,Datasource Service,Manage connection configuration safely and separately from anything that executes — the config half of the plugin story.,,,Datasource,Phase-B
Story,,DS - Datasource Service,Create the datasource_db schema,"As a backend developer, I want EF Core migrations for datasources, environments and datasource_storages, so that the service has a database matching the target design.

Acceptance Criteria:
- Matches Database per Service §5.3
- No secret material columns present — secret_ref only",3,High,Datasource,"datasource-&-environment-crud,Phase-B"
Story,,DS - Datasource Service,Implement datasource CRUD endpoints,"As a user, I want to create, view, rename and delete datasources, so that I can manage my workspace's connections.

Acceptance Criteria:
- Delete is soft; in-use datasources are handled per the documented deletion contract
- Name uniqueness enforced per workspace",5,High,Datasource,"datasource-&-environment-crud,Phase-B"
Story,,DS - Datasource Service,Implement default-environment auto-creation,"As a backend developer, I want a default environment created automatically when a workspace is created, so that CE users never have to think about the environment concept.

Acceptance Criteria:
- Exactly one default environment per workspace
- Model still supports adding more environments for a future EE scenario",2,Medium,Datasource,"datasource-&-environment-crud,Phase-B"
Story,,DS - Datasource Service,Create the datasource_storages schema with secret references,"As a backend developer, I want storage rows that hold non-secret config as jsonb and a secret_ref pointer, so that no credential ever lands in this database.

Acceptance Criteria:
- Unique (datasource_id, environment_id) constraint
- configuration column never contains password/key/token fields",5,High,Datasource,"datasource-storage-&-secrets,Phase-B"
Story,,DS - Datasource Service,Integrate the secrets manager,"As a backend developer, I want datasource storage writes to route secret fields through ISecretStore, so that credentials are stored, versioned and rotatable outside this database.

Acceptance Criteria:
- Write path splits config into non-secret and secret halves automatically
- Delete of a datasource also deletes its secret via the store
- Covered by an integration test against the chosen provider's test/dev instance",8,High,Datasource,"datasource-storage-&-secrets,Phase-B"
Story,,DS - Datasource Service,Implement update-storage-config endpoint,"As a user, I want to edit a datasource's connection details, so that I can fix or change how it connects.

Acceptance Criteria:
- Matches the current PUT /datasources/datasource-storages contract
- isConfigured and invalids fields update based on validation result",5,High,Datasource,"datasource-storage-&-secrets,Phase-B"
Story,,DS - Datasource Service,Implement test-connection,"As a user, I want to test a datasource's connection before saving it, so that I know it works before I rely on it.

Acceptance Criteria:
- Delegates to Execution.TestConnection over gRPC with a timeout
- Returns a clear pass/fail with a human-readable reason on failure",5,High,Datasource,"datasource-storage-&-secrets,Phase-B"
Story,,DS - Datasource Service,Implement the plugin catalog replica and consumer,"As a backend developer, I want a local read-only plugins table kept current via PluginCatalogUpdated events, so that datasource creation and the connector picker work without calling Execution synchronously.

Acceptance Criteria:
- Consumer is idempotent
- Staleness budget (documented at <1h) is met in testing",5,Medium,Datasource,"plugin-catalog-replica,Phase-B"
Story,,DS - Datasource Service,Implement plugin catalog endpoints,"As the Angular client, I want GET /plugins and GET /plugins/{id}/form, so that the datasource creation UI can render the connector picker and its config form.

Acceptance Criteria:
- Form schema returned matches what Execution publishes
- Response cacheable at the gateway given the low change frequency",3,Medium,Datasource,"plugin-catalog-replica,Phase-B"
Story,,DS - Datasource Service,Publish DatasourceConfigChanged with a monotonic version,"As a backend developer, I want every config write to publish an event carrying an incrementing version number, so that Query Execution's cache can detect and discard out-of-order delivery.

Acceptance Criteria:
- Version increments strictly on every write to the same (datasourceId, environmentId)
- Verified with a test that delivers events out of order and confirms the cache resolves to the latest",5,High,Datasource,"config-change-publishing,Phase-B"
Story,,DS - Datasource Service,Publish DatasourceDeleted and handle cascading cleanup,"As a backend developer, I want deletion to notify Application (summary cleanup) and Execution (pool/cache eviction), so that no service holds a dangling reference to a deleted datasource.

Acceptance Criteria:
- Event published in the same transaction as the delete
- Application Service's datasource_summaries row is removed on consumption",5,Medium,Datasource,"config-change-publishing,Phase-B"
Story,,DS - Datasource Service,Implement SaaS OAuth2 authorize/token endpoints,"As a user, I want to authorize a SaaS connector (e.g. Google Sheets) via OAuth2, so that I can connect without pasting raw credentials.

Acceptance Criteria:
- Matches the current /saas/{id}/oauth and /saas/{id}/token contracts
- Refresh-token handling verified against at least one real SaaS provider",8,Low,Datasource,"oauth2-for-saas-datasources,Phase-B"
Story,,DS - Datasource Service,Implement CloneDatasources gRPC,"As Application Service, I want a call that clones a set of datasources into a target workspace and returns the id remap, so that the Fork saga can complete its second local transaction.

Acceptance Criteria:
- Clone includes storage config but re-marks isConfigured:false where secrets can't be safely copied across workspace boundaries, per current export behaviour
- Returns a complete oldId→newId map",8,High,Datasource,"clonedatasources-for-fork,Phase-B"
Story,,DS - Datasource Service,Implement idempotent DeleteClonedDatasources,"As Application Service, I want a compensating call that safely deletes cloned datasources even if called twice, so that fork compensation is safe to retry.

Acceptance Criteria:
- Second call on already-deleted ids is a no-op, not an error
- Deletes the associated secrets too",5,High,Datasource,"clonedatasources-for-fork,Phase-B"
Story,,DS - Datasource Service,Implement the authz_grants table and event consumer,"As a backend developer, I want the same local authorization projection pattern as Application Service, so that datasource reads stay a single indexed query.

Acceptance Criteria:
- Shares the BuildingBlocks.Authorization graph implementation
- Consumer is idempotent and lag-monitored",5,High,Datasource,"authorization-projection,Phase-B"
Epic,EXEC - Query Execution Service,,Query Execution Service,"Run all 25 connector types in isolated, resource-capped worker pools. The largest reliability improvement in the programme.",,,Execution,Phase-C
Story,,EXEC - Query Execution Service,Create the execution_db schema,"As a backend developer, I want the plugins, plugin_forms, datasource_config_cache and partitioned execution_audit tables, so that the service has somewhere to route from and record to.

Acceptance Criteria:
- execution_audit is partitioned by time as designed
- Matches Database per Service §5.4",5,High,Execution,"grpc-router-&-audit,Phase-C"
Story,,EXEC - Query Execution Service,Implement the ExecuteAction gRPC router,"As Application Service, I want a stateless endpoint that dispatches to the correct worker pool by plugin type, so that query execution has a single entry point regardless of connector.

Acceptance Criteria:
- Router itself contains no connector logic
- Every call carries and enforces a deadline",5,High,Execution,"grpc-router-&-audit,Phase-C"
Story,,EXEC - Query Execution Service,Implement the datasource config cache consumer,"As a backend developer, I want a local jsonb cache kept current via DatasourceConfigChanged, with staleness detection, so that execution reads config without a network hop on the hot path.

Acceptance Criteria:
- Version field used to detect and resolve staleness against the caller's expectation
- Synchronous refetch path exists for the rare stale-cache case",5,High,Execution,"grpc-router-&-audit,Phase-C"
Story,,EXEC - Query Execution Service,Implement the worker dispatch model,"As a platform engineer, I want each worker pool as a separately deployable container with a defined IPC/gRPC contract to the router, so that connector families can scale and fail independently.

Acceptance Criteria:
- Router-to-worker contract documented and versioned
- Adding a new worker pool requires no router code change beyond configuration",8,High,Execution,"worker-process-isolation-model,Phase-C"
Story,,EXEC - Query Execution Service,"Enforce CPU, memory and wall-clock limits","As a platform engineer, I want container-level resource limits on every worker pool, with the deadline propagated from the gRPC call, so that a runaway connector can't degrade the platform.

Acceptance Criteria:
- Limits configurable per worker pool
- A hostile connector test suite (infinite loop, huge allocation, huge result set) is contained without affecting other pools — this is a go/no-go checkpoint",8,Highest,Execution,"worker-process-isolation-model,Phase-C"
Story,,EXEC - Query Execution Service,Enforce network egress policy on workers,"As a security engineer, I want workers restricted to customer-system egress only, with no path to internal services or the secrets manager, so that a compromised connector can't pivot into the platform.

Acceptance Criteria:
- Network policy verified with a test that attempts a call to an internal service from inside a worker and confirms it's blocked
- Documented in the service's runbook",5,High,Execution,"worker-process-isolation-model,Phase-C"
Story,,EXEC - Query Execution Service,Enforce result-size caps,"As a platform engineer, I want a hard cap on response size at the router, so that a query returning an enormous result set fails cleanly instead of exhausting memory.

Acceptance Criteria:
- Cap is configurable
- Failure returns a clear, actionable error to the user, not a generic timeout",3,Medium,Execution,"worker-process-isolation-model,Phase-C"
Story,,EXEC - Query Execution Service,Port the Postgres connector,"As a user, I want to run queries against a Postgres datasource, so that I can build applications on Postgres data.

Acceptance Criteria:
- Golden-file suite captured from postgresPlugin passes
- Connection pooling scoped per (datasourceId, environmentId) at the worker-pool level",8,High,Execution,"sql-connector-worker-pool,Phase-C"
Story,,EXEC - Query Execution Service,Port the MySQL connector,"As a user, I want to run queries against a MySQL datasource, so that I can build applications on MySQL data.

Acceptance Criteria:
- Golden-file suite captured from mysqlPlugin passes",8,High,Execution,"sql-connector-worker-pool,Phase-C"
Story,,EXEC - Query Execution Service,Port the remaining SQL connectors,"As a user, I want MSSQL, Oracle, Redshift, Snowflake and Databricks support, so that the platform covers the same relational connector breadth as today.

Acceptance Criteria:
- Each has its own golden-file suite, ported in this order by observed traffic
- No connector ships without its suite passing",13,Medium,Execution,"sql-connector-worker-pool,Phase-C"
Story,,EXEC - Query Execution Service,Port the REST API connector,"As a user, I want to call arbitrary REST APIs as a datasource, so that I can integrate with external HTTP services.

Acceptance Criteria:
- Golden-file suite captured from restApiPlugin passes, including auth modes and pagination
- Handles the current SSRF-relevant hint messages (localhost warnings) equivalently",8,High,Execution,"http-connector-worker-pool,Phase-C"
Story,,EXEC - Query Execution Service,Port the GraphQL connector,"As a user, I want to query GraphQL APIs as a datasource, so that I can integrate with GraphQL services.

Acceptance Criteria:
- Golden-file suite captured from graphqlPlugin passes",5,Medium,Execution,"http-connector-worker-pool,Phase-C"
Story,,EXEC - Query Execution Service,Port the SaaS connector framework,"As a user, I want OAuth2-backed SaaS connectors (e.g. Google Sheets) to work end-to-end, so that I can connect to SaaS platforms, not just raw HTTP.

Acceptance Criteria:
- Integrates with Datasource Service's SaaS OAuth2 endpoints
- Golden-file suite for at least one SaaS connector passes",5,Medium,Execution,"http-connector-worker-pool,Phase-C"
Story,,EXEC - Query Execution Service,Implement the sandboxed JS worker,"As a user, I want my JS Object functions to execute safely on the server when used as datasource-independent logic, so that server-side JS behaves correctly without risking the platform.

Acceptance Criteria:
- Jint sandbox with no fs/net/process access, memory and statement-count limits
- A fresh worker is used per execution, never reused across users or requests",8,High,Execution,"js-worker,Phase-C"
Story,,EXEC - Query Execution Service,Verify no state leaks between JS executions,"As a security engineer, I want a test that writes a global variable in one execution and asserts its absence in the next, so that one user's JS execution can never affect another's.

Acceptance Criteria:
- Test passes consistently across repeated runs
- Documented as a permanent regression test, not a one-off check",5,High,Execution,"js-worker,Phase-C"
Story,,EXEC - Query Execution Service,Port the NoSQL connectors,"As a user, I want MongoDB, Redis and Elasticsearch support, so that I can build applications on document/key-value/search data.

Acceptance Criteria:
- Golden-file suites pass for each, ported in traffic order",8,Medium,Execution,"nosql--cloud--ai-worker-pools,Phase-C"
Story,,EXEC - Query Execution Service,Port the remaining NoSQL connectors,"As a user, I want DynamoDB, Firestore and ArangoDB support, so that the platform covers the same NoSQL breadth as today.

Acceptance Criteria:
- Golden-file suites pass for each",8,Low,Execution,"nosql--cloud--ai-worker-pools,Phase-C"
Story,,EXEC - Query Execution Service,Port the cloud/storage connectors,"As a user, I want S3, Google Sheets, Lambda and SMTP support, so that I can integrate with common cloud services.

Acceptance Criteria:
- Golden-file suites pass for each
- S3 connector reused later for object-storage-backed assets if applicable",8,Medium,Execution,"nosql--cloud--ai-worker-pools,Phase-C"
Story,,EXEC - Query Execution Service,Port the AI connectors,"As a user, I want OpenAI, Anthropic, Google AI and the Appsmith AI connectors to work as datasources, so that I can build AI-powered applications.

Acceptance Criteria:
- Golden-file suites pass for each
- Streaming responses (if used) are handled correctly through the gRPC contract",8,Medium,Execution,"nosql--cloud--ai-worker-pools,Phase-C"
Story,,EXEC - Query Execution Service,Implement worker-tier connection pooling,"As a platform engineer, I want pools scoped per (datasourceId, environmentId) at the worker-pool level, not per API replica, so that the platform has a real, global connection budget per datasource for the first time.

Acceptance Criteria:
- N execution replicas no longer means N× connections against a customer database
- Stale-connection eviction and retry-once logic ported from DatasourceContextServiceCEImpl",8,High,Execution,"connection-pooling-&-introspection,Phase-C"
Story,,EXEC - Query Execution Service,Implement GetStructure schema introspection,"As a user, I want to see my datasource's schema in the editor, so that I can browse tables/collections while writing a query.

Acceptance Criteria:
- Result cached in Datasource Service's datasource_structures on the caller's behalf
- Matches the current GET /datasources/{id}/structure contract",5,Medium,Execution,"connection-pooling-&-introspection,Phase-C"
Story,,EXEC - Query Execution Service,Implement the Trigger endpoint,"As a user, I want dynamic dropdown data (e.g. list of sheets, list of buckets), so that the editor can offer contextual choices while I configure an action.

Acceptance Criteria:
- Matches current POST /datasources/{id}/trigger and /plugins/{id}/trigger contracts",5,Low,Execution,"connection-pooling-&-introspection,Phase-C"
Story,,EXEC - Query Execution Service,Build the golden-file replay tooling,"As a tech lead, I want a test harness that loads captured Java-plugin request/response pairs and replays them against the .NET connector, so that every connector port has an automated, objective pass/fail bar.

Acceptance Criteria:
- Harness runs as part of each connector's test suite in CI
- Failures show a clear diff between expected and actual output",8,High,Execution,"golden-file-test-harness,Phase-C"
Story,,EXEC - Query Execution Service,Gate connector merges on golden-file suite results,"As a tech lead, I want CI to block merging a connector port without its golden-file suite passing, so that no connector reaches production without verified fidelity.

Acceptance Criteria:
- Gate is enforced at the CI level, not just by convention
- Documented in the contribution guide for the Execution team",3,High,Execution,"golden-file-test-harness,Phase-C"
Epic,GIT - Git Versioning Service,,Git Versioning Service,"Version-control application artifacts against a real git remote — commit, push, pull, merge, branch, and deploy-key management.",,,Git,Phase-D
Story,,GIT - Git Versioning Service,Create the git_db schema,"As a backend developer, I want tables for repositories, branches, deploy keys and git profiles, so that the service has somewhere to track git state.

Acceptance Criteria:
- Matches Database per Service §5.5
- git_repositories.artifact_id is unique — one repo per artifact",5,High,Git,"repository-model,Phase-D"
Story,,GIT - Git Versioning Service,Implement the LibGit2Sharp wrapper and working-tree management,"As a backend developer, I want a clean abstraction over LibGit2Sharp with a managed working-tree volume per repository, so that git operations have a reliable local execution environment.

Acceptance Criteria:
- Working trees are placed on a documented persistent volume path
- Wrapper exposes only the operations the service actually needs, not the full LibGit2Sharp surface",8,High,Git,"repository-model,Phase-D"
Story,,GIT - Git Versioning Service,Implement the artifact JSON to file-tree serializer,"As a backend developer, I want a serializer producing the same pages/queries/jsobjects/datasources/jslibs directory layout as today, so that existing git-connected applications continue to diff sensibly after migration.

Acceptance Criteria:
- JS Objects still write as real .js files, not embedded JSON
- Directory names match GitDirectoriesCE exactly",8,High,Git,"byte-stable-serialization,Phase-D"
Story,,GIT - Git Versioning Service,Prove byte-identical serialization against the Java baseline,"As a tech lead, I want a golden test comparing .NET serializer output to Java output across the application corpus, so that a user's first commit after migration is not a whole-repo diff.

Acceptance Criteria:
- Zero byte differences across the corpus, or every difference explicitly triaged and fixed
- This is a go/no-go checkpoint per the roadmap — blocking for migrating git-connected applications",8,Highest,Git,"byte-stable-serialization,Phase-D"
Story,,GIT - Git Versioning Service,Implement connect-to-git,"As a user, I want to connect my application to a git remote, so that I can start version-controlling it.

Acceptance Criteria:
- Generates an SSH keypair via the secrets manager, never storing the raw private key in this database
- Tests connectivity before confirming the connection succeeded",5,High,Git,"connect--commit--push--pull,Phase-D"
Story,,GIT - Git Versioning Service,Implement commit with the Redis lock,"As a user, I want to commit my current changes with a message, so that I have a checkpoint I can return to.

Acceptance Criteria:
- Redis lock keyed on baseArtifactId carried over unchanged, with retry/backoff
- Commit fails cleanly and releases the lock if serialization or git-add fails partway",8,High,Git,"connect--commit--push--pull,Phase-D"
Story,,GIT - Git Versioning Service,Implement push,"As a user, I want to push my committed changes to the remote, so that my team and the remote history stay in sync.

Acceptance Criteria:
- Uses the SSH deploy key resolved from the secrets manager at call time, never persisted in memory longer than needed
- Push failure (auth, network) returns a specific, actionable error",5,High,Git,"connect--commit--push--pull,Phase-D"
Story,,GIT - Git Versioning Service,Implement pull,"As a user, I want to pull the latest remote changes into my application, so that I can incorporate changes made elsewhere.

Acceptance Criteria:
- Returns artifact JSON to Application Service, which performs the actual database import
- Git Service itself never writes application data",5,High,Git,"connect--commit--push--pull,Phase-D"
Story,,GIT - Git Versioning Service,Implement create/checkout/delete branch,"As a user, I want to create, switch between and delete branches, so that I can work on multiple versions of my application in parallel.

Acceptance Criteria:
- Branch creation triggers the entity-tree duplication contract with Application Service
- Checkout switches the active branched ids the client works against",8,High,Git,"branching,Phase-D"
Story,,GIT - Git Versioning Service,Implement the entity-tree duplication contract,"As a backend developer, I want a well-defined call from Git to Application Service that duplicates an application's entity tree for a new branch, so that branch creation produces a correct, independent copy every time.

Acceptance Criteria:
- Every page/action/collection gets a fresh id but shares the base_id of its source
- Contract documented in the service's Contracts project",8,High,Git,"branching,Phase-D"
Story,,GIT - Git Versioning Service,Implement branch protection,"As a user, I want to mark a branch as protected against direct commits, so that my team can enforce a review process on important branches.

Acceptance Criteria:
- Protected-branch commit attempts are rejected with a clear message
- Matches current GET/POST .../protected contract",3,Medium,Git,"branching,Phase-D"
Story,,GIT - Git Versioning Service,Implement status,"As a user, I want to see what's changed between my database state and the git working tree, so that I know what a commit would include before making it.

Acceptance Criteria:
- Diff is computed without mutating either side
- Matches current GET /git/status/app/{id} contract",5,Medium,Git,"merge-&-status,Phase-D"
Story,,GIT - Git Versioning Service,Implement merge and conflict detection,"As a user, I want to merge one branch into another and be warned about conflicts before it happens, so that I don't lose work to a silent overwrite.

Acceptance Criteria:
- Merge-status endpoint runs a dry-run check before the real merge is attempted
- Conflicts are reported with enough detail to resolve them",8,Medium,Git,"merge-&-status,Phase-D"
Story,,GIT - Git Versioning Service,Implement discard,"As a user, I want to discard my local database changes and reset to the last commit, so that I can undo experimentation I don't want to keep.

Acceptance Criteria:
- Resets via the same import path pull uses
- Requires explicit confirmation given it's a destructive operation",3,Medium,Git,"merge-&-status,Phase-D"
Story,,GIT - Git Versioning Service,Implement auto-commit with progress reporting,"As the platform, I want a background job that commits DSL/schema-migration changes automatically, with a pollable progress endpoint, so that users' next manual commit isn't a huge unrelated diff.

Acceptance Criteria:
- Progress endpoint matches current GET .../auto-commit/progress/app/{id} contract
- Job is safe to run concurrently with the artifact-level Redis lock",8,Medium,Git,"auto-commit,Phase-D"
Story,,GIT - Git Versioning Service,Implement deploy key management via the secrets manager,"As a backend developer, I want deploy keys generated, stored and resolved exclusively through ISecretStore, so that private keys never land in this database in plaintext, unlike today.

Acceptance Criteria:
- git_deploy_keys stores only a public key and a private_key_ref
- Key resolution happens just-in-time for a push, never cached longer than the call",5,High,Git,"deploy-keys,Phase-D"
Epic,RT - Realtime Collaboration Service,,Realtime Collaboration Service,"Show who else is in an app, where their cursor is, and push version-available notifications — with the cross-instance backplane today's RTS lacks.",,,Realtime,Phase-E
Story,,RT - Realtime Collaboration Service,Scaffold the SignalR hub,"As a backend developer, I want a hub project with connection authentication delegated to Identity & Access, so that only authenticated (or correctly anonymous) users can join a presence room.

Acceptance Criteria:
- Connection auth reuses the same internal-JWT validation as other services
- Unauthenticated connections to a private application's room are rejected",5,High,Realtime,"signalr-hub-&-auth,Phase-E"
Story,,RT - Realtime Collaboration Service,Wire the SignalR Redis backplane,"As a backend developer, I want StackExchangeRedis backplane configuration for SignalR, so that presence works correctly across multiple service replicas.

Acceptance Criteria:
- Configuration documented and covered by an integration test using two hub instances",5,High,Realtime,"redis-backplane,Phase-E"
Story,,RT - Realtime Collaboration Service,Verify multi-replica presence,"As a tech lead, I want a test with two service replicas and two simulated browser connections confirming each sees the other's presence, so that we've proven the one capability gap the current RTS process has.

Acceptance Criteria:
- Test runs in CI against a real Redis instance (Testcontainers)
- This is the concrete 'genuine improvement over today' claim — verified, not assumed",5,High,Realtime,"redis-backplane,Phase-E"
Story,,RT - Realtime Collaboration Service,Implement room join/leave,"As a user, I want to join a presence room scoped to the application and page I'm editing, so that my collaborators can see I'm here.

Acceptance Criteria:
- Room key is (applicationId, pageId)
- Leaving (including disconnect) is detected and broadcast promptly",3,Medium,Realtime,"presence-&-cursors,Phase-E"
Story,,RT - Realtime Collaboration Service,Implement live cursor broadcast,"As a user, I want to see my collaborators' cursor positions on the canvas in real time, so that we can avoid working on the same widget by accident.

Acceptance Criteria:
- Cursor updates are throttled to avoid flooding the hub
- Stale cursors are cleared on disconnect",5,Medium,Realtime,"presence-&-cursors,Phase-E"
Story,,RT - Realtime Collaboration Service,Implement the collaborator indicator list,"As a user, I want to see who else is currently in this application, so that I know who I'm collaborating with.

Acceptance Criteria:
- List updates on join/leave without a page refresh
- Matches the visual behaviour of the current product",3,Medium,Realtime,"presence-&-cursors,Phase-E"
Story,,RT - Realtime Collaboration Service,Implement version-published push,"As a user, I want to be notified in the editor when someone else publishes a new version while I'm working, so that I don't keep editing against stale assumptions.

Acceptance Criteria:
- Consumes ApplicationPublished and CommitCreated from the broker
- Push doesn't force a reload — it surfaces a dismissible notice",3,Medium,Realtime,"version-push,Phase-E"
Epic,NOTIF - Notifications & Telemetry Service,,Notifications & Telemetry Service,"Everything that happens after a user action and must never slow it down — email delivery with real retry semantics, alerts, usage and audit.",,,Notifications,Phase-F
Story,,NOTIF - Notifications & Telemetry Service,Create the notifications_db schema,"As a backend developer, I want tables for templates, delivery_log, alerts and usage_events, so that the service has somewhere to record what it does.

Acceptance Criteria:
- Matches Database per Service §5.6
- delivery_log indexed for the retry-due query",5,High,Notifications,"event-consumers,Phase-F"
Story,,NOTIF - Notifications & Telemetry Service,Implement consumers for every domain event,"As a backend developer, I want a consumer registered for every event type published by every other service, so that nothing that should trigger a notification or audit entry is silently missed.

Acceptance Criteria:
- Every event in the Contracts & Events catalog has a corresponding consumer, even if some just write an audit row
- All consumers are idempotent via the inbox pattern",8,High,Notifications,"event-consumers,Phase-F"
Story,,NOTIF - Notifications & Telemetry Service,Port the email templates,"As a user, I want to receive welcome, verification, password-reset and invite emails matching today's content, so that the transition doesn't change what I see in my inbox.

Acceptance Criteria:
- All four current templates ported with equivalent content
- Templates stored in notification_templates, not hardcoded",5,High,Notifications,"email-delivery,Phase-F"
Story,,NOTIF - Notifications & Telemetry Service,Implement SMTP delivery,"As a backend developer, I want an SMTP client integration used by the delivery pipeline, so that templated emails actually get sent.

Acceptance Criteria:
- Configurable SMTP provider settings
- Delivery attempt always writes to delivery_log, success or failure",5,High,Notifications,"email-delivery,Phase-F"
Story,,NOTIF - Notifications & Telemetry Service,Implement retry with exponential backoff,"As a backend developer, I want failed deliveries retried automatically with backoff and a capped attempt count, so that a transient SMTP failure doesn't become a permanently lost email.

Acceptance Criteria:
- Retry schedule matches the documented intervals
- next_retry_at drives the retry query, not a fixed polling scan of everything",8,High,Notifications,"retry-dlq-delivery-log,Phase-F"
